order_date,total_sales,region,is_forecast
2020-01-02,16.45,Central,False
2020-01-03,288.06,Central,False
2020-01-04,0.0,Central,False
2020-01-05,0.0,Central,False
2020-01-06,87.16,Central,False
2020-01-07,0.0,Central,False
2020-01-08,40.54,Central,False
2020-01-09,0.0,Central,False
2020-01-10,0.0,Central,False
2020-01-11,0.0,Central,False
2020-01-12,0.0,Central,False
2020-01-13,0.0,Central,False
2020-01-14,0.0,Central,False
2020-01-15,0.0,Central,False
2020-01-16,0.0,Central,False
2020-01-17,0.0,Central,False
2020-01-18,0.0,Central,False
2020-01-19,708.62,Central,False
2020-01-20,0.0,Central,False
2020-01-21,0.0,Central,False
2020-01-22,5.94,Central,False
2020-01-23,0.0,Central,False
2020-01-24,0.0,Central,False
2020-01-25,152.64,Central,False
2020-01-26,0.0,Central,False
2020-01-27,0.0,Central,False
2020-01-28,0.0,Central,False
2020-01-29,240.5,Central,False
2020-01-30,0.0,Central,False
2020-01-31,468.9,Central,False
2020-02-01,0.0,Central,False
2020-02-02,0.0,Central,False
2020-02-03,0.0,Central,False
2020-02-04,0.0,Central,False
2020-02-05,8.95,Central,False
2020-02-06,0.0,Central,False
2020-02-07,0.0,Central,False
2020-02-08,0.0,Central,False
2020-02-09,0.0,Central,False
2020-02-10,535.27,Central,False
2020-02-11,0.0,Central,False
2020-02-12,0.0,Central,False
2020-02-13,16.18,Central,False
2020-02-14,0.0,Central,False
2020-02-15,9.04,Central,False
2020-02-16,54.21,Central,False
2020-02-17,37.78,Central,False
2020-02-18,0.0,Central,False
2020-02-19,82.63,Central,False
2020-02-20,8.85,Central,False
2020-02-21,0.0,Central,False
2020-02-22,11.37,Central,False
2020-02-23,0.0,Central,False
2020-02-24,0.0,Central,False
2020-02-25,0.0,Central,False
2020-02-26,0.0,Central,False
2020-02-27,0.0,Central,False
2020-02-28,1739.64,Central,False
2020-02-29,0.0,Central,False
2020-03-01,176.77,Central,False
2020-03-02,0.0,Central,False
2020-03-03,0.0,Central,False
2020-03-04,0.0,Central,False
2020-03-05,0.0,Central,False
2020-03-06,0.0,Central,False
2020-03-07,0.0,Central,False
2020-03-08,22.38,Central,False
2020-03-09,0.0,Central,False
2020-03-10,0.0,Central,False
2020-03-11,0.0,Central,False
2020-03-12,583.36,Central,False
2020-03-13,0.0,Central,False
2020-03-14,0.0,Central,False
2020-03-15,275.1,Central,False
2020-03-16,0.0,Central,False
2020-03-17,0.0,Central,False
2020-03-18,0.0,Central,False
2020-03-19,0.0,Central,False
2020-03-20,16.28,Central,False
2020-03-21,0.0,Central,False
2020-03-22,0.0,Central,False
2020-03-23,0.0,Central,False
2020-03-24,0.0,Central,False
2020-03-25,0.0,Central,False
2020-03-26,1190.84,Central,False
2020-03-27,890.84,Central,False
2020-03-28,844.26,Central,False
2020-03-29,88.11,Central,False
2020-03-30,0.0,Central,False
2020-03-31,60.21,Central,False
2020-04-01,0.0,Central,False
2020-04-02,84.83,Central,False
2020-04-03,872.34,Central,False
2020-04-04,0.0,Central,False
2020-04-05,0.0,Central,False
2020-04-06,0.0,Central,False
2020-04-07,0.0,Central,False
2020-04-08,0.0,Central,False
2020-04-09,758.35,Central,False
2020-04-10,32.4,Central,False
2020-04-11,0.0,Central,False
2020-04-12,0.0,Central,False
2020-04-13,0.0,Central,False
2020-04-14,0.0,Central,False
2020-04-15,0.0,Central,False
2020-04-16,697.08,Central,False
2020-04-17,0.0,Central,False
2020-04-18,1190.53,Central,False
2020-04-19,0.0,Central,False
2020-04-20,0.0,Central,False
2020-04-21,0.0,Central,False
2020-04-22,0.0,Central,False
2020-04-23,16.61,Central,False
2020-04-24,0.0,Central,False
2020-04-25,0.0,Central,False
2020-04-26,0.0,Central,False
2020-04-27,0.0,Central,False
2020-04-28,0.0,Central,False
2020-04-29,0.0,Central,False
2020-04-30,0.0,Central,False
2020-05-01,21.56,Central,False
2020-05-02,90.11,Central,False
2020-05-03,173.12,Central,False
2020-05-04,0.0,Central,False
2020-05-05,0.0,Central,False
2020-05-06,0.0,Central,False
2020-05-07,0.0,Central,False
2020-05-08,0.0,Central,False
2020-05-09,1606.88,Central,False
2020-05-10,34.79,Central,False
2020-05-11,0.0,Central,False
2020-05-12,0.0,Central,False
2020-05-13,0.0,Central,False
2020-05-14,0.0,Central,False
2020-05-15,91.68,Central,False
2020-05-16,3.98,Central,False
2020-05-17,57.42,Central,False
2020-05-18,108.44,Central,False
2020-05-19,186.9,Central,False
2020-05-20,0.0,Central,False
2020-05-21,0.0,Central,False
2020-05-22,0.0,Central,False
2020-05-23,104.92,Central,False
2020-05-24,475.78,Central,False
2020-05-25,17.46,Central,False
2020-05-26,0.0,Central,False
2020-05-27,0.0,Central,False
2020-05-28,1075.44,Central,False
2020-05-29,0.0,Central,False
2020-05-30,3949.71,Central,False
2020-05-31,0.0,Central,False
2020-06-01,225.46,Central,False
2020-06-02,0.0,Central,False
2020-06-03,0.0,Central,False
2020-06-04,138.81,Central,False
2020-06-05,281.4,Central,False
2020-06-06,0.0,Central,False
2020-06-07,142.34,Central,False
2020-06-08,491.55,Central,False
2020-06-09,0.0,Central,False
2020-06-10,0.0,Central,False
2020-06-11,0.0,Central,False
2020-06-12,212.94,Central,False
2020-06-13,942.97,Central,False
2020-06-14,647.84,Central,False
2020-06-15,62.02,Central,False
2020-06-16,0.0,Central,False
2020-06-17,0.0,Central,False
2020-06-18,1828.95,Central,False
2020-06-19,0.0,Central,False
2020-06-20,663.75,Central,False
2020-06-21,0.0,Central,False
2020-06-22,0.0,Central,False
2020-06-23,0.0,Central,False
2020-06-24,0.0,Central,False
2020-06-25,0.0,Central,False
2020-06-26,6.08,Central,False
2020-06-27,0.0,Central,False
2020-06-28,52.48,Central,False
2020-06-29,0.0,Central,False
2020-06-30,0.0,Central,False
2020-07-01,0.0,Central,False
2020-07-02,0.0,Central,False
2020-07-03,502.2,Central,False
2020-07-04,0.0,Central,False
2020-07-05,0.0,Central,False
2020-07-06,0.0,Central,False
2020-07-07,24.72,Central,False
2020-07-08,0.0,Central,False
2020-07-09,586.34,Central,False
2020-07-10,613.87,Central,False
2020-07-11,0.0,Central,False
2020-07-12,68.2,Central,False
2020-07-13,9.51,Central,False
2020-07-14,0.0,Central,False
2020-07-15,0.0,Central,False
2020-07-16,0.0,Central,False
2020-07-17,0.0,Central,False
2020-07-18,1340.97,Central,False
2020-07-19,787.86,Central,False
2020-07-20,26.63,Central,False
2020-07-21,0.0,Central,False
2020-07-22,0.0,Central,False
2020-07-23,0.0,Central,False
2020-07-24,2780.27,Central,False
2020-07-25,0.0,Central,False
2020-07-26,0.0,Central,False
2020-07-27,0.0,Central,False
2020-07-28,0.0,Central,False
2020-07-29,0.0,Central,False
2020-07-30,0.0,Central,False
2020-07-31,886.28,Central,False
2020-08-01,0.0,Central,False
2020-08-02,0.0,Central,False
2020-08-03,489.23,Central,False
2020-08-04,0.0,Central,False
2020-08-05,0.0,Central,False
2020-08-06,1109.73,Central,False
2020-08-07,0.0,Central,False
2020-08-08,0.0,Central,False
2020-08-09,0.0,Central,False
2020-08-10,0.0,Central,False
2020-08-11,0.0,Central,False
2020-08-12,0.0,Central,False
2020-08-13,30.96,Central,False
2020-08-14,0.0,Central,False
2020-08-15,15.55,Central,False
2020-08-16,0.0,Central,False
2020-08-17,0.0,Central,False
2020-08-18,421.37,Central,False
2020-08-19,0.0,Central,False
2020-08-20,11.56,Central,False
2020-08-21,19.44,Central,False
2020-08-22,0.0,Central,False
2020-08-23,38.06,Central,False
2020-08-24,0.0,Central,False
2020-08-25,0.0,Central,False
2020-08-26,0.0,Central,False
2020-08-27,0.0,Central,False
2020-08-28,0.0,Central,False
2020-08-29,0.0,Central,False
2020-08-30,34.75,Central,False
2020-08-31,1275.63,Central,False
2020-09-01,7.68,Central,False
2020-09-02,0.0,Central,False
2020-09-03,0.0,Central,False
2020-09-04,0.0,Central,False
2020-09-05,2475.0,Central,False
2020-09-06,11757.79,Central,False
2020-09-07,114.5,Central,False
2020-09-08,0.0,Central,False
2020-09-09,0.0,Central,False
2020-09-10,793.03,Central,False
2020-09-11,340.12,Central,False
2020-09-12,104.02,Central,False
2020-09-13,0.0,Central,False
2020-09-14,0.0,Central,False
2020-09-15,0.0,Central,False
2020-09-16,0.0,Central,False
2020-09-17,5579.94,Central,False
2020-09-18,1122.25,Central,False
2020-09-19,77.25,Central,False
2020-09-20,331.54,Central,False
2020-09-21,9900.19,Central,False
2020-09-22,0.0,Central,False
2020-09-23,340.3,Central,False
2020-09-24,154.7,Central,False
2020-09-25,0.0,Central,False
2020-09-26,0.0,Central,False
2020-09-27,0.0,Central,False
2020-09-28,0.0,Central,False
2020-09-29,0.0,Central,False
2020-09-30,0.0,Central,False
